standard_cost,avg_unit_price,list_price,rolling_avg_sales_3m,current_month_gross_sales,month_num,current_month_net_sales,product_key,customer_key,current_month_margin_amount,month_cos,year_num,store_id,current_month_order_qty,previous_month_sales,size,sales_growth_previous_period,territory_id,bonus,month_sin
0.8565,1.374,2.29,9.618,9.618,8,9.618,139,276,3.6225,-0.5000000000000004,2007,808,7.0,0.0,,,7,985.0,-0.8660254037844384
486.7066,469.794,782.99,2949.6350333333335,4697.94,10,4697.94,32,13,-169.126,0.5000000000000001,2006,592,10.0,2137.5627,44,1.1978021978021978,6,5150.0,-0.8660254037844386
486.7066,469.794,782.99,1409.382,1409.382,8,1409.382,33,273,-50.7378,-0.5000000000000004,2006,746,3.0,0.0,48,,3,4100.0,-0.8660254037844384
486.7066,469.794,782.99,2348.97,2348.97,12,2348.97,35,394,-84.563,1.0,2006,1830,5.0,2348.97,58,0.0,7,985.0,-2.4492935982947064e-16
47.286,63.9,106.5,639.0,639.0,7,639.0,198,245,166.14,-0.8660254037844388,2007,1840,10.0,0.0,,,6,5150.0,-0.4999999999999997
38.4923,28.8404,49.99,28.8404,86.5212,11,86.5212,8,317,-28.9557,0.8660254037844384,2006,1480,3.0,28.8404,L,1.9999999999999998,3,2500.0,-0.5000000000000004
884.7083,874.794,1457.99,874.794,874.794,9,874.794,26,132,-9.9143,-1.8369701987210297e-16,2005,672,1.0,0.0,58,,3,2500.0,-1.0
713.0798,600.2625,1120.49,1800.7875,3601.575,1,3601.575,82,25,-676.9038,0.8660254037844387,2007,1050,6.0,1800.7875,42,1.0,3,4100.0,0.49999999999999994
9.1593,14.1289,24.49,56.5156,56.5156,9,56.5156,127,165,19.8784,-1.8369701987210297e-16,2006,1322,4.0,0.0,S,,6,5150.0,-1.0
26.1763,41.994,69.99,251.964,125.982,11,125.982,136,284,47.4531,0.8660254037844384,2007,986,3.0,251.964,M,-0.5,6,5150.0,-0.5000000000000004
199.8519,200.052,333.42,1200.312,800.208,10,800.208,161,460,0.8004,0.5000000000000001,2007,1404,4.0,1200.312,44,-0.3333333333333333,4,2000.0,-0.8660254037844386
486.7066,469.794,782.99,3288.558,3288.558,7,3288.558,38,211,-118.3882,-0.8660254037844388,2006,534,7.0,0.0,52,,10,5000.0,-0.4999999999999997
199.8519,200.052,333.42,400.104,400.104,2,400.104,161,482,0.4002,0.5000000000000001,2008,582,2.0,400.104,44,0.0,8,75.0,0.8660254037844386
1554.9479,1308.9375,2443.35,3926.8125,3926.8125,9,3926.8125,78,380,-738.0312,-1.8369701987210297e-16,2006,1330,3.0,0.0,52,,4,2500.0,-1.0
40.6571,54.942,91.57,109.884,109.884,12,109.884,197,539,28.5698,1.0,2007,328,2.0,0.0,,,2,2500.0,-2.4492935982947064e-16
47.286,63.9,106.5,521.2749,255.6,2,255.6,198,508,66.456,0.5000000000000001,2008,1262,4.0,255.6,,0.0,7,985.0,0.8660254037844386
23.3722,31.584,52.64,94.752,94.752,9,94.752,171,338,24.6354,-1.8369701987210297e-16,2007,472,3.0,0.0,,,1,5000.0,-1.0
755.1508,728.91,1214.85,1457.82,728.91,3,728.91,220,585,-26.2408,6.123233995736766e-17,2008,1080,1.0,1457.82,46,-0.5,5,6700.0,1.0
461.4448,334.0575,742.35,283.948875,334.0575,7,283.948875,228,450,-177.4959,-0.8660254037844388,2007,1036,1.0,0.0,44,,2,2500.0,-0.4999999999999997
755.1508,728.91,1214.85,728.91,728.91,12,728.91,222,582,-26.2408,1.0,2007,1042,1.0,0.0,54,,9,5650.0,-2.4492935982947064e-16
144.5938,158.43,264.05,633.72,633.72,9,633.72,178,374,55.3448,-1.8369701987210297e-16,2007,1188,4.0,0.0,44,,3,2500.0,-1.0
41.5723,29.6945,53.99,451.3564,475.112,9,451.3564,146,128,-213.8004,-1.8369701987210297e-16,2007,642,16.0,0.0,L,,4,4100.0,-1.0
23.749,38.1,63.5,696.75375,152.4,2,152.4,133,304,57.404,0.5000000000000001,2008,1316,4.0,597.2175,S,-0.7448165869218502,2,2500.0,0.8660254037844386
23.749,38.1,63.5,630.39625,342.9,10,342.9,134,220,129.159,0.5000000000000001,2007,692,9.0,630.39625,M,-0.4560564089649963,2,2500.0,-0.8660254037844386
308.2179,338.994,564.99,1016.982,1016.982,11,1016.982,238,300,92.3283,0.8660254037844384,2007,1242,3.0,1016.982,52,0.0,3,2000.0,-0.5000000000000004
1265.6195,1242.8518,2319.99,7457.1108,4971.4072,11,4971.4072,64,297,-91.0708,0.8660254037844384,2006,1202,4.0,7457.1108,46,-0.3333333333333334,5,6700.0,-0.5000000000000004
713.0798,600.2625,1120.49,1800.7875,2401.05,6,2401.05,81,352,-451.2692,-1.0,2007,798,4.0,3001.3125,40,-0.19999999999999993,5,2500.0,1.2246467991473532e-16
486.7066,469.794,782.99,1409.382,3288.558,11,3288.558,30,263,-118.3882,0.8660254037844384,2006,598,7.0,1409.382,60,1.3333333333333333,4,2500.0,-0.5000000000000004
1554.9479,1308.9375,2443.35,3926.8125,3926.8125,8,3926.8125,76,83,-738.0312,-0.5000000000000004,2006,1108,3.0,0.0,44,,4,2000.0,-0.8660254037844384
1554.9479,1466.01,2443.35,6213.09,5864.04,12,5864.04,75,129,-355.7516,1.0,2007,648,4.0,2932.02,58,1.0,6,5150.0,-2.4492935982947064e-16
486.7066,469.794,782.99,1409.382,1409.382,12,1409.382,34,399,-50.7378,1.0,2006,1966,3.0,1409.382,52,0.0,1,3900.0,-2.4492935982947064e-16
1481.9379,1430.442,2384.07,1430.442,1430.442,7,1430.442,219,450,-51.4959,-0.8660254037844388,2007,1036,1.0,0.0,60,,2,2500.0,-0.4999999999999997
486.7066,419.4589,782.99,838.9178,838.9178,10,838.9178,31,10,-134.4954,0.5000000000000001,2005,552,2.0,0.0,62,,6,5000.0,-0.8660254037844386
360.9428,324.4527,594.83,973.3581,648.9054,11,648.9054,101,107,-72.9802,0.8660254037844384,2006,1900,2.0,973.3581,38,-0.33333333333333337,3,3550.0,-0.5000000000000004
38.4923,29.994,49.99,119.976,119.976,9,119.976,8,616,-33.9932,-1.8369701987210297e-16,2007,1890,4.0,0.0,L,,1,3900.0,-1.0
53.9416,72.894,121.49,109.34100000000001,72.894,1,72.894,245,220,18.9524,0.8660254037844387,2008,692,1.0,72.894,,0.0,2,2500.0,0.49999999999999994
27.4925,33.7745,61.92,135.098,33.7745,10,33.7745,91,18,6.282,0.5000000000000001,2006,852,1.0,135.098,,-0.75,6,5150.0,-0.8660254037844386
343.6496,323.994,539.99,971.982,1619.97,2,1619.97,248,285,-98.278,0.5000000000000001,2008,988,5.0,971.982,52,0.6666666666666667,5,6700.0,0.8660254037844386
3.3623,5.394,8.99,40.455,10.788,3,10.788,141,157,4.0634,6.123233995736766e-17,2008,1082,2.0,43.152,L,-0.7500000000000001,4,3550.0,1.0
461.4448,445.41,742.35,1703.69325,1336.23,10,1336.23,229,430,-48.1044,0.5000000000000001,2007,538,3.0,1703.69325,50,-0.21568627450980393,8,75.0,-0.8660254037844386
1554.9479,1466.01,2443.35,2120.47875,4398.03,12,4398.03,76,399,-266.8137,1.0,2007,1966,3.0,2932.02,44,0.49999999999999994,1,3900.0,-2.4492935982947064e-16
2.9733,4.77,7.95,47.7,47.7,8,47.7,143,491,17.967,-0.5000000000000004,2007,834,10.0,0.0,,,8,75.0,-0.8660254037844384
1481.9379,953.628,2384.07,5340.3168,6675.396,9,5340.3168,204,571,-5033.2485,-1.8369701987210297e-16,2007,860,7.0,0.0,46,,3,4100.0,-1.0
65.8097,88.932,148.22,355.728,355.728,9,355.728,85,395,92.4892,-1.8369701987210297e-16,2006,1836,4.0,0.0,,,4,2500.0,-1.0
9.1593,14.2042,24.49,126.25536933333332,184.6546,10,180.961508,128,251,61.8906,0.5000000000000001,2007,1976,13.0,180.961508,M,0.0,3,2500.0,-0.8660254037844386
53.9282,72.876,121.46,145.752,145.752,9,145.752,157,544,37.8956,-1.8369701987210297e-16,2007,394,2.0,0.0,,,5,6700.0,-1.0
1251.9813,1229.4589,2294.99,4917.8356,4917.8356,8,4917.8356,65,329,-90.0896,-0.5000000000000004,2006,1972,4.0,0.0,38,,6,5150.0,-0.8660254037844384
35.9596,48.594,80.99,97.188,48.594,3,48.594,187,201,12.6344,6.123233995736766e-17,2008,1246,1.0,97.188,,-0.5,1,5000.0,1.0
15.6709,22.794,37.99,182.352,68.382,10,68.382,132,220,21.3693,0.5000000000000001,2006,692,3.0,182.352,L,-0.625,2,4100.0,-0.8660254037844386
1518.7864,1466.01,2443.35,2932.02,4398.03,3,4398.03,73,144,-158.3292,6.123233995736766e-17,2007,812,3.0,1466.01,48,1.9999999999999998,6,5150.0,1.0
486.7066,419.4589,782.99,1677.8356,838.9178,2,838.9178,31,86,-134.4954,0.5000000000000001,2006,1134,2.0,1677.8356,62,-0.5,4,2000.0,0.8660254037844386
1898.0944,2024.994,3374.99,2024.994,4049.988,11,4049.988,44,92,253.7992,0.8660254037844384,2005,1214,2.0,2024.994,42,1.0,4,2000.0,-0.5000000000000004
486.7066,469.794,782.99,1879.176,1879.176,8,1879.176,36,258,-67.6504,-0.5000000000000004,2006,474,4.0,0.0,60,,4,3550.0,-0.8660254037844384
27.4925,33.7745,61.92,101.3235,67.549,10,67.549,91,215,12.564,0.5000000000000001,2006,570,2.0,101.3235,,-0.33333333333333326,4,0.0,-0.8660254037844386
19.7758,26.724,44.54,51.018499999999996,80.172,2,80.172,90,277,20.8446,0.5000000000000001,2008,848,3.0,26.724,,1.9999999999999998,4,4100.0,0.8660254037844386
6.9223,5.1865,8.99,31.119,15.5595,1,15.5595,6,24,-5.2074,0.8660254037844387,2007,1046,3.0,31.119,,-0.5,5,6700.0,0.49999999999999994
187.1571,183.9382,337.22,183.9382,183.9382,5,183.9382,14,66,-3.2189,-0.8660254037844387,2006,832,1.0,183.9382,62,0.0,2,4100.0,0.49999999999999994
884.7083,874.794,1457.99,2624.382,874.794,1,874.794,56,1,-9.9143,0.8660254037844387,2006,302,1.0,2624.382,48,-0.6666666666666667,4,3550.0,0.49999999999999994
294.5797,323.994,539.99,647.988,647.988,10,647.988,243,215,58.8286,0.5000000000000001,2007,570,2.0,647.988,52,0.0,4,3550.0,-0.8660254037844386
146.5466,198.036,330.06,1188.216,1188.216,12,1188.216,100,351,308.9364,1.0,2006,786,6.0,0.0,,,2,4100.0,-2.4492935982947064e-16
185.8193,209.256,348.76,627.768,209.256,2,209.256,109,283,23.4367,0.5000000000000001,2007,976,1.0,837.024,44,-0.75,4,0.0,0.8660254037844386
144.5938,158.43,264.05,158.43,475.29,11,475.29,180,98,41.5086,0.8660254037844384,2007,1332,3.0,158.43,52,2.0,3,2500.0,-0.5000000000000004
884.7083,874.794,1457.99,2624.382,5248.764,3,5248.764,29,167,-59.4858,6.123233995736766e-17,2006,1358,6.0,2624.382,52,1.0,3,2500.0,1.0
360.9428,324.4527,594.83,324.4527,973.3581,6,973.3581,101,337,-109.4703,-1.0,2007,432,3.0,324.4527,38,2.0000000000000004,10,0.0,1.2246467991473532e-16
55.3801,74.838,124.73,224.514,224.514,9,224.514,89,397,58.3737,-1.8369701987210297e-16,2006,1844,3.0,0.0,,,10,5000.0,-1.0
23.3722,31.584,52.64,31.584,31.584,12,31.584,176,595,8.2118,1.0,2007,1282,1.0,31.584,,0.0,1,3900.0,-2.4492935982947064e-16
38.4923,28.8404,49.99,28.8404,28.8404,4,28.8404,8,8,-9.6519,-0.4999999999999998,2006,496,1.0,28.8404,L,0.0,4,2500.0,0.8660254037844387
26.1763,41.994,69.99,230.96699999999998,83.988,3,83.988,136,427,31.6354,6.123233995736766e-17,2008,1448,2.0,41.994,M,1.0,3,4100.0,1.0
360.9428,324.4527,594.83,1622.2635,1622.2635,8,1622.2635,101,275,-182.4505,-0.5000000000000004,2006,782,5.0,0.0,38,,6,500.0,-0.8660254037844384
2171.2942,2146.962,3578.27,8587.848,8587.848,11,8587.848,53,90,-97.3288,0.8660254037844384,2005,1182,4.0,0.0,44,,5,6700.0,-0.5000000000000004
3.3623,5.394,8.99,32.364000000000004,26.97,3,26.97,140,371,10.1585,6.123233995736766e-17,2008,1132,5.0,43.152,M,-0.37500000000000006,6,5150.0,1.0
17.9776,24.294,40.49,109.32300000000001,48.588,3,48.588,188,145,12.6328,6.123233995736766e-17,2008,814,2.0,72.882,,-0.33333333333333337,5,6700.0,1.0
27.4925,33.7745,61.92,202.647,202.647,9,202.647,91,147,37.692,-1.8369701987210297e-16,2006,828,6.0,0.0,,,6,5150.0,-1.0
486.7066,419.4589,782.99,838.9178,838.9178,5,838.9178,30,91,-134.4954,-0.8660254037844387,2006,1192,2.0,838.9178,60,0.0,6,5000.0,0.49999999999999994
884.7083,874.794,1457.99,2624.382,4373.97,12,4373.97,26,150,-49.5715,1.0,2005,878,5.0,2624.382,58,0.6666666666666667,2,4100.0,-2.4492935982947064e-16
199.8519,200.052,333.42,1000.26,1000.26,7,1000.26,158,444,1.0005,-0.8660254037844388,2007,770,5.0,0.0,50,,8,75.0,-0.4999999999999997
144.5938,158.43,264.05,1584.3,316.86,11,316.86,194,314,27.6724,0.8660254037844384,2007,1424,2.0,1584.3,40,-0.8,1,3500.0,-0.5000000000000004
755.1508,728.91,1214.85,1822.275,2915.64,1,2915.64,221,463,-104.9632,0.8660254037844387,2008,1990,4.0,1457.82,50,1.0,4,2000.0,0.49999999999999994
24.7459,34.7942,59.99,375.081476,382.7362,7,375.081476,119,13,102.8766,-0.8660254037844388,2006,592,11.0,0.0,M,,6,5150.0,-0.4999999999999997
110.2829,149.031,248.385,596.124,596.124,9,596.124,99,394,154.9924,-1.8369701987210297e-16,2006,1830,4.0,0.0,,,7,985.0,-1.0
104.7951,141.615,236.025,283.23,283.23,10,283.23,103,248,73.6398,0.5000000000000001,2006,1898,2.0,283.23,,0.0,5,6700.0,-0.8660254037844386
1481.9379,1430.442,2384.07,2860.884,2860.884,7,2860.884,219,454,-102.9918,-0.8660254037844388,2007,1146,2.0,0.0,60,,4,2000.0,-0.4999999999999997
24.7459,35.994,59.99,143.976,179.97,11,179.97,116,266,56.2405,0.8660254037844384,2006,622,5.0,143.976,S,0.25,6,500.0,-0.5000000000000004
136.785,149.874,249.79,599.496,599.496,9,599.496,182,374,52.356,-1.8369701987210297e-16,2007,1188,4.0,0.0,44,,3,2500.0,-1.0
1912.1544,2039.994,3399.99,2039.994,2039.994,9,2039.994,42,131,127.8396,-1.8369701987210297e-16,2005,668,1.0,0.0,48,,6,500.0,-1.0
15.6709,22.794,37.99,182.352,182.352,8,182.352,132,295,56.9848,-0.5000000000000004,2006,1156,8.0,0.0,L,,6,5150.0,-0.8660254037844384
1082.51,1020.594,1700.99,3061.782,3061.782,10,3061.782,226,25,-185.748,0.5000000000000001,2007,1050,3.0,3061.782,48,0.0,3,4100.0,-0.8660254037844386
185.8193,209.256,348.76,627.768,627.768,9,627.768,109,359,70.3101,-1.8369701987210297e-16,2006,928,3.0,0.0,44,,6,5150.0,-1.0
13.0863,20.2942,34.99,87.47483333333332,284.1188,9,278.436424,2,165,95.2282,-1.8369701987210297e-16,2007,1322,14.0,60.5595,,3.597733204534383,6,5150.0,-1.0
1251.9813,1376.994,2294.99,4130.982,5507.976,11,5507.976,65,491,500.0508,0.8660254037844384,2007,834,4.0,4130.982,38,0.33333333333333326,8,75.0,-0.5000000000000004
598.4354,647.994,1079.99,1295.988,3887.964,11,3887.964,68,297,297.3516,0.8660254037844384,2006,1202,6.0,1295.988,38,1.9999999999999996,5,6700.0,-0.5000000000000004
461.4448,334.0575,742.35,1419.744375,1670.2875,7,1419.744375,212,462,-887.4796,-0.8660254037844388,2007,1888,5.0,0.0,50,,1,5000.0,-0.4999999999999997
38.4923,28.8404,49.99,28.8404,115.3616,10,115.3616,8,20,-38.6076,0.5000000000000001,2005,904,4.0,28.8404,L,3.0,2,4100.0,-0.8660254037844386
23.749,34.925,63.5,763.11125,803.275,8,763.11125,133,276,216.8843,-0.5000000000000004,2007,808,23.0,0.0,S,,7,985.0,-0.8660254037844384
343.6496,323.994,539.99,323.994,323.994,8,323.994,248,90,-19.6556,-0.5000000000000004,2007,1182,1.0,0.0,52,,5,6700.0,-0.8660254037844384
1251.9813,1229.4589,2294.99,1229.4589,4917.8356,6,4917.8356,67,365,-90.0896,-1.0,2007,1040,4.0,1229.4589,46,3.0,6,500.0,1.2246467991473532e-16
20.5663,32.994,54.99,375.075792,296.946,11,296.946,144,517,111.8493,0.8660254037844384,2007,1420,9.0,375.075792,70,-0.20830401125967618,8,75.0,-0.5000000000000004
343.6496,323.994,539.99,2591.952,971.982,12,971.982,247,128,-58.9668,1.0,2007,642,3.0,2591.952,48,-0.625,4,4100.0,-2.4492935982947064e-16
38.4923,28.8404,49.99,134.58853333333332,259.5636,8,259.5636,9,63,-86.8671,-0.5000000000000004,2006,794,9.0,230.7232,XL,0.12500000000000008,6,500.0,-0.8660254037844384
38.4923,28.8404,49.99,48.06733333333333,86.5212,4,86.5212,7,24,-28.9557,-0.4999999999999998,2007,1046,3.0,57.6808,M,0.49999999999999994,5,6700.0,0.8660254037844387
1481.9379,1430.442,2384.07,12873.978,5721.768,11,5721.768,219,517,-205.9836,0.8660254037844384,2007,1420,4.0,12873.978,60,-0.5555555555555555,8,75.0,-0.5000000000000004
713.0798,600.2625,1120.49,1200.525,1200.525,8,1200.525,84,107,-225.6346,-0.5000000000000004,2006,1900,2.0,0.0,48,,3,3550.0,-0.8660254037844384
461.4448,445.41,742.35,2839.48875,3563.28,12,3563.28,208,558,-128.2784,1.0,2007,626,8.0,2839.48875,54,0.2549019607843138,6,5150.0,-2.4492935982947064e-16
739.041,736.1455,1349.6,1429.4086,1472.291,12,1472.291,20,201,-5.791,1.0,2006,1246,2.0,1429.4086,42,0.0300000993417837,1,5000.0,-2.4492935982947064e-16
360.9428,324.4527,594.83,324.4527,324.4527,9,324.4527,101,337,-36.4901,-1.8369701987210297e-16,2006,432,1.0,0.0,38,,10,5000.0,-1.0
1251.9813,1229.4589,2294.99,6147.2945,7376.7534,11,7376.7534,66,314,-135.1344,0.8660254037844384,2006,1424,6.0,6147.2945,42,0.19999999999999993,1,3500.0,-0.5000000000000004
1554.9479,1308.9375,2443.35,3926.8125,10471.5,5,10471.5,78,64,-1968.0832,-0.8660254037844387,2007,816,8.0,1308.9375,52,7.0,4,3550.0,0.49999999999999994
739.041,736.1455,1349.6,1219.7621,736.1455,4,736.1455,20,37,-2.8955,-0.4999999999999998,2007,1882,1.0,1472.291,42,-0.5,6,5150.0,0.8660254037844387
360.9428,324.4527,594.83,973.3581,973.3581,11,973.3581,112,264,-109.4703,0.8660254037844384,2006,602,3.0,973.3581,44,0.0,10,5000.0,-0.5000000000000004
343.6496,323.994,539.99,3239.94,647.988,1,647.988,247,251,-39.3112,0.8660254037844387,2008,1976,2.0,3239.94,48,-0.8,3,2500.0,0.49999999999999994
868.6342,758.0759,1431.5,758.0759,758.0759,10,758.0759,48,14,-110.5583,0.5000000000000001,2005,662,1.0,0.0,44,,4,2500.0,-0.8660254037844386
1.8663,2.994,4.99,8.982,8.982,9,8.982,138,619,3.3831,-1.8369701987210297e-16,2007,1914,3.0,0.0,,,8,75.0,-1.0
187.1571,183.9382,337.22,183.9382,183.9382,11,183.9382,12,94,-3.2189,0.8660254037844384,2005,1228,1.0,0.0,48,,3,2500.0,-0.5000000000000004
461.4448,334.0575,742.35,283.948875,334.0575,8,283.948875,209,504,-177.4959,-0.5000000000000004,2007,1230,1.0,0.0,58,,1,3900.0,-0.8660254037844384
1251.9813,1229.4589,2294.99,1844.1883500000001,4917.8356,1,4917.8356,65,221,-90.0896,0.8660254037844387,2007,744,4.0,1229.4589,38,3.0,1,3500.0,0.49999999999999994
1251.9813,1376.994,2294.99,2147.4549,5507.976,12,5507.976,66,365,500.0508,1.0,2007,1040,4.0,2753.988,42,1.0,6,500.0,-2.4492935982947064e-16
53.3999,72.162,120.27,72.162,72.162,11,72.162,94,67,18.7621,0.8660254037844384,2007,846,1.0,0.0,,,2,2500.0,-0.5000000000000004
53.9282,72.876,121.46,72.876,72.876,9,72.876,157,557,18.9478,-1.8369701987210297e-16,2007,624,1.0,0.0,,,9,5650.0,-1.0
461.4448,445.41,742.35,1174.768875,2227.05,3,2227.05,228,586,-80.174,6.123233995736766e-17,2008,1084,5.0,1781.64,44,0.25000000000000006,1,5000.0,1.0
1082.51,1020.594,1700.99,1020.594,1020.594,11,1020.594,226,272,-61.916,0.8660254037844384,2007,732,1.0,1020.594,48,0.0,6,5150.0,-0.5000000000000004
53.9282,72.876,121.46,72.876,72.876,12,72.876,157,557,18.9478,1.0,2007,624,1.0,72.876,,0.0,9,5650.0,-2.4492935982947064e-16
486.7066,419.4589,782.99,838.9178,838.9178,12,838.9178,30,125,-134.4954,1.0,2005,544,2.0,0.0,60,,2,4100.0,-2.4492935982947064e-16
6.9223,5.1865,8.99,15.5595,10.373,5,10.373,6,64,-3.4716,-0.8660254037844387,2006,816,2.0,20.746,,-0.5,4,3550.0,0.49999999999999994
6.9223,5.1865,8.99,41.492,41.492,7,41.492,6,230,-13.8864,-0.8660254037844388,2006,954,8.0,0.0,,,3,2000.0,-0.4999999999999997
713.0798,672.294,1120.49,1720.7524999999998,672.294,3,672.294,80,166,-40.7858,6.123233995736766e-17,2008,1356,1.0,2016.882,38,-0.6666666666666667,2,2500.0,1.0
27.4925,33.7745,61.92,67.549,33.7745,10,33.7745,91,37,6.282,0.5000000000000001,2006,1882,1.0,67.549,,-0.5,6,5150.0,-0.8660254037844386
343.6496,323.994,539.99,323.994,971.982,12,971.982,246,115,-58.9668,1.0,2007,296,3.0,323.994,44,1.9999999999999996,3,4100.0,-2.4492935982947064e-16
204.6251,183.9382,337.22,239.8935333333333,367.8764,12,367.8764,17,115,-41.3738,1.0,2006,296,2.0,183.9382,52,1.0,3,2500.0,-2.4492935982947064e-16
23.749,34.925,63.5,228.6,523.875,12,497.68125,134,556,141.4462,1.0,2007,618,15.0,228.6,M,1.1770833333333333,6,5150.0,-2.4492935982947064e-16
6.9223,4.7543,8.99,97.24725,109.3489,12,103.881455,6,362,-55.3314,1.0,2006,978,23.0,97.24725,,0.06821997537205432,4,2000.0,-2.4492935982947064e-16
1082.51,1020.594,1700.99,1020.594,4082.376,11,4082.376,225,327,-247.664,0.8660254037844384,2007,1944,4.0,1020.594,44,3.0,4,2000.0,-0.5000000000000004
185.8193,209.256,348.76,837.024,837.024,11,837.024,110,40,93.7468,0.8660254037844384,2006,340,4.0,837.024,48,0.0,5,6700.0,-0.5000000000000004
199.3757,218.454,364.09,1310.724,1310.724,7,1310.724,165,9,114.4698,-0.8660254037844388,2007,518,6.0,0.0,40,,1,3500.0,-0.4999999999999997
461.4448,445.41,742.35,1135.7955,890.82,12,890.82,229,568,-32.0696,1.0,2007,824,2.0,1135.7955,50,-0.21568627450980385,1,3550.0,-2.4492935982947064e-16
598.4354,647.994,1079.99,1943.982,1295.988,1,1295.988,69,177,99.1172,0.8660254037844387,2007,1948,2.0,1943.982,40,-0.3333333333333333,2,2500.0,0.49999999999999994
1912.1544,2039.994,3399.99,10199.97,10199.97,8,10199.97,39,44,639.198,-0.5000000000000004,2005,356,5.0,0.0,38,,6,500.0,-0.8660254037844384
26.1763,41.994,69.99,167.976,125.982,12,125.982,136,392,47.4531,1.0,2007,1798,3.0,167.976,M,-0.25,6,5150.0,-2.4492935982947064e-16
6.9223,5.394,8.99,10.788,10.788,8,10.788,6,515,-3.0566,-0.5000000000000004,2007,1384,2.0,0.0,,,7,0.0,-0.8660254037844384
6.9223,5.394,8.99,15.767000000000001,16.182,12,16.182,6,125,-4.5849,1.0,2007,544,3.0,16.182,,0.0,2,2500.0,-2.4492935982947064e-16
755.1508,728.91,1214.85,2915.64,2915.64,9,2915.64,220,551,-104.9632,-1.8369701987210297e-16,2007,480,4.0,0.0,46,,5,6700.0,-1.0
