list_price,standard_cost,current_month_gross_sales,rolling_avg_sales_3m,avg_unit_price,previous_month_sales,month_cos,month_num,product_model_name,customer_key,store_id,current_month_margin_amount,current_month_order_qty,current_month_net_sales,year_num,bonus,quarter_num,month_sin,territory_id
782.99,486.7066,2348.97,2348.97,469.794,2348.97,1.0,12,Road-650,394,1830,-84.563,5.0,2348.97,2006,985.0,4,-2.4492935982947064e-16,7
106.5,47.286,639.0,639.0,63.9,0.0,-0.8660254037844388,7,Front Brakes,245,1840,166.14,10.0,639.0,2007,5150.0,3,-0.4999999999999997,6
49.99,38.4923,86.5212,28.8404,28.8404,28.8404,0.8660254037844384,11,Long-Sleeve Logo Jersey,317,1480,-28.9557,3.0,86.5212,2006,2500.0,4,-0.5000000000000004,3
1457.99,884.7083,874.794,874.794,874.794,0.0,-1.8369701987210297e-16,9,Road-450,132,672,-9.9143,1.0,874.794,2005,2500.0,3,-1.0,3
1120.49,713.0798,3601.575,1800.7875,600.2625,1800.7875,0.8660254037844387,1,Road-550-W,25,1050,-676.9038,6.0,3601.575,2007,4100.0,1,0.49999999999999994,3
24.49,9.1593,56.5156,56.5156,14.1289,0.0,-1.8369701987210297e-16,9,Half-Finger Gloves,165,1322,19.8784,4.0,56.5156,2006,5150.0,3,-1.0,6
69.99,26.1763,125.982,251.964,41.994,251.964,0.8660254037844384,11,Women's Mountain Shorts,284,986,47.4531,3.0,125.982,2007,5150.0,4,-0.5000000000000004,6
333.42,199.8519,800.208,1200.312,200.052,1200.312,0.5000000000000001,10,LL Touring Frame,460,1404,0.8004,4.0,800.208,2007,2000.0,4,-0.8660254037844386,4
782.99,486.7066,3288.558,3288.558,469.794,0.0,-0.8660254037844388,7,Road-650,211,534,-118.3882,7.0,3288.558,2006,5000.0,3,-0.4999999999999997,10
333.42,199.8519,400.104,400.104,200.052,400.104,0.5000000000000001,2,LL Touring Frame,482,582,0.4002,2.0,400.104,2008,75.0,1,0.8660254037844386,8
2443.35,1554.9479,3926.8125,3926.8125,1308.9375,0.0,-1.8369701987210297e-16,9,Road-250,380,1330,-738.0312,3.0,3926.8125,2006,2500.0,3,-1.0,4
91.57,40.6571,109.884,109.884,54.942,0.0,1.0,12,HL Touring Handlebars,539,328,28.5698,2.0,109.884,2007,2500.0,4,-2.4492935982947064e-16,2
106.5,47.286,255.6,521.2749,63.9,255.6,0.5000000000000001,2,Front Brakes,508,1262,66.456,4.0,255.6,2008,985.0,1,0.8660254037844386,7
52.64,23.3722,94.752,94.752,31.584,0.0,-1.8369701987210297e-16,9,HL Mountain Seat/Saddle 2,338,472,24.6354,3.0,94.752,2007,5000.0,3,-1.0,1
1214.85,755.1508,728.91,1457.82,728.91,1457.82,6.123233995736766e-17,3,Touring-2000,585,1080,-26.2408,1.0,728.91,2008,6700.0,1,1.0,5
742.35,461.4448,334.0575,283.948875,334.0575,0.0,-0.8660254037844388,7,Touring-3000,450,1036,-177.4959,1.0,283.948875,2007,2500.0,3,-0.4999999999999997,2
1214.85,755.1508,728.91,728.91,728.91,0.0,1.0,12,Touring-2000,582,1042,-26.2408,1.0,728.91,2007,5650.0,4,-2.4492935982947064e-16,9
264.05,144.5938,633.72,633.72,158.43,0.0,-1.8369701987210297e-16,9,LL Mountain Frame,374,1188,55.3448,4.0,633.72,2007,2500.0,3,-1.0,3
53.99,41.5723,475.112,451.3564,29.6945,0.0,-1.8369701987210297e-16,9,Short-Sleeve Classic Jersey,128,642,-213.8004,16.0,451.3564,2007,4100.0,3,-1.0,4
63.5,23.749,152.4,696.75375,38.1,597.2175,0.5000000000000001,2,Classic Vest,304,1316,57.404,4.0,152.4,2008,2500.0,1,0.8660254037844386,2
63.5,23.749,342.9,630.39625,38.1,630.39625,0.5000000000000001,10,Classic Vest,220,692,129.159,9.0,342.9,2007,2500.0,4,-0.8660254037844386,2
564.99,308.2179,1016.982,1016.982,338.994,1016.982,0.8660254037844384,11,Mountain-500,300,1242,92.3283,3.0,1016.982,2007,2000.0,4,-0.5000000000000004,3
2319.99,1265.6195,4971.4072,7457.1108,1242.8518,7457.1108,0.8660254037844384,11,Mountain-200,297,1202,-91.0708,4.0,4971.4072,2006,6700.0,4,-0.5000000000000004,5
1120.49,713.0798,2401.05,1800.7875,600.2625,3001.3125,-1.0,6,Road-550-W,352,798,-451.2692,4.0,2401.05,2007,2500.0,2,1.2246467991473532e-16,5
782.99,486.7066,3288.558,1409.382,469.794,1409.382,0.8660254037844384,11,Road-650,263,598,-118.3882,7.0,3288.558,2006,2500.0,4,-0.5000000000000004,4
2443.35,1554.9479,3926.8125,3926.8125,1308.9375,0.0,-0.5000000000000004,8,Road-250,83,1108,-738.0312,3.0,3926.8125,2006,2000.0,3,-0.8660254037844384,4
2443.35,1554.9479,5864.04,6213.09,1466.01,2932.02,1.0,12,Road-250,129,648,-355.7516,4.0,5864.04,2007,5150.0,4,-2.4492935982947064e-16,6
782.99,486.7066,1409.382,1409.382,469.794,1409.382,1.0,12,Road-650,399,1966,-50.7378,3.0,1409.382,2006,3900.0,4,-2.4492935982947064e-16,1
2384.07,1481.9379,1430.442,1430.442,1430.442,0.0,-0.8660254037844388,7,Touring-1000,450,1036,-51.4959,1.0,1430.442,2007,2500.0,3,-0.4999999999999997,2
782.99,486.7066,838.9178,838.9178,419.4589,0.0,0.5000000000000001,10,Road-650,10,552,-134.4954,2.0,838.9178,2005,5000.0,4,-0.8660254037844386,6
594.83,360.9428,648.9054,973.3581,324.4527,973.3581,0.8660254037844384,11,ML Road Frame-W,107,1900,-72.9802,2.0,648.9054,2006,3550.0,4,-0.5000000000000004,3
49.99,38.4923,119.976,119.976,29.994,0.0,-1.8369701987210297e-16,9,Long-Sleeve Logo Jersey,616,1890,-33.9932,4.0,119.976,2007,3900.0,3,-1.0,1
121.49,53.9416,72.894,109.34100000000001,72.894,72.894,0.8660254037844387,1,HL Bottom Bracket,220,692,18.9524,1.0,72.894,2008,2500.0,1,0.49999999999999994,2
61.92,27.4925,33.7745,135.098,33.7745,135.098,0.5000000000000001,10,ML Mountain Handlebars,18,852,6.282,1.0,33.7745,2006,5150.0,4,-0.8660254037844386,6
539.99,343.6496,1619.97,971.982,323.994,971.982,0.5000000000000001,2,Road-750,285,988,-98.278,5.0,1619.97,2008,6700.0,1,0.8660254037844386,5
8.99,3.3623,10.788,40.455,5.394,43.152,6.123233995736766e-17,3,Racing Socks,157,1082,4.0634,2.0,10.788,2008,3550.0,1,1.0,4
742.35,461.4448,1336.23,1703.69325,445.41,1703.69325,0.5000000000000001,10,Touring-3000,430,538,-48.1044,3.0,1336.23,2007,75.0,4,-0.8660254037844386,8
2443.35,1554.9479,4398.03,2120.47875,1466.01,2932.02,1.0,12,Road-250,399,1966,-266.8137,3.0,4398.03,2007,3900.0,4,-2.4492935982947064e-16,1
7.95,2.9733,47.7,47.7,4.77,0.0,-0.5000000000000004,8,Bike Wash,491,834,17.967,10.0,47.7,2007,75.0,3,-0.8660254037844384,8
2384.07,1481.9379,6675.396,5340.3168,953.628,0.0,-1.8369701987210297e-16,9,Touring-1000,571,860,-5033.2485,7.0,5340.3168,2007,4100.0,3,-1.0,3
148.22,65.8097,355.728,355.728,88.932,0.0,-1.8369701987210297e-16,9,LL Fork,395,1836,92.4892,4.0,355.728,2006,2500.0,3,-1.0,4
24.49,9.1593,184.6546,126.25536933333332,14.2042,180.961508,0.5000000000000001,10,Half-Finger Gloves,251,1976,61.8906,13.0,180.961508,2007,2500.0,4,-0.8660254037844386,3
121.46,53.9282,145.752,145.752,72.876,0.0,-1.8369701987210297e-16,9,Rear Derailleur,544,394,37.8956,2.0,145.752,2007,6700.0,3,-1.0,5
2294.99,1251.9813,4917.8356,4917.8356,1229.4589,0.0,-0.5000000000000004,8,Mountain-200,329,1972,-90.0896,4.0,4917.8356,2006,5150.0,3,-0.8660254037844384,6
80.99,35.9596,48.594,97.188,48.594,97.188,6.123233995736766e-17,3,HL Mountain Pedal,201,1246,12.6344,1.0,48.594,2008,5000.0,1,1.0,1
37.99,15.6709,68.382,182.352,22.794,182.352,0.5000000000000001,10,Full-Finger Gloves,220,692,21.3693,3.0,68.382,2006,4100.0,4,-0.8660254037844386,2
2443.35,1518.7864,4398.03,2932.02,1466.01,1466.01,6.123233995736766e-17,3,Road-250,144,812,-158.3292,3.0,4398.03,2007,5150.0,1,1.0,6
782.99,486.7066,838.9178,1677.8356,419.4589,1677.8356,0.5000000000000001,2,Road-650,86,1134,-134.4954,2.0,838.9178,2006,2000.0,1,0.8660254037844386,4
3374.99,1898.0944,4049.988,2024.994,2024.994,2024.994,0.8660254037844384,11,Mountain-100,92,1214,253.7992,2.0,4049.988,2005,2000.0,4,-0.5000000000000004,4
782.99,486.7066,1879.176,1879.176,469.794,0.0,-0.5000000000000004,8,Road-650,258,474,-67.6504,4.0,1879.176,2006,3550.0,3,-0.8660254037844384,4
61.92,27.4925,67.549,101.3235,33.7745,101.3235,0.5000000000000001,10,ML Mountain Handlebars,215,570,12.564,2.0,67.549,2006,0.0,4,-0.8660254037844386,4
44.54,19.7758,80.172,51.018499999999996,26.724,26.724,0.5000000000000001,2,LL Mountain Handlebars,277,848,20.8446,3.0,80.172,2008,4100.0,1,0.8660254037844386,4
8.99,6.9223,15.5595,31.119,5.1865,31.119,0.8660254037844387,1,Cycling Cap,24,1046,-5.2074,3.0,15.5595,2007,6700.0,1,0.49999999999999994,5
337.22,187.1571,183.9382,183.9382,183.9382,183.9382,-0.8660254037844387,5,LL Road Frame,66,832,-3.2189,1.0,183.9382,2006,4100.0,2,0.49999999999999994,2
1457.99,884.7083,874.794,2624.382,874.794,2624.382,0.8660254037844387,1,Road-450,1,302,-9.9143,1.0,874.794,2006,3550.0,1,0.49999999999999994,4
539.99,294.5797,647.988,647.988,323.994,647.988,0.5000000000000001,10,Mountain-500,215,570,58.8286,2.0,647.988,2007,3550.0,4,-0.8660254037844386,4
330.06,146.5466,1188.216,1188.216,198.036,0.0,1.0,12,HL Road Front Wheel,351,786,308.9364,6.0,1188.216,2006,4100.0,4,-2.4492935982947064e-16,2
348.76,185.8193,209.256,627.768,209.256,837.024,0.5000000000000001,2,ML Mountain Frame,283,976,23.4367,1.0,209.256,2007,0.0,1,0.8660254037844386,4
264.05,144.5938,475.29,158.43,158.43,158.43,0.8660254037844384,11,LL Mountain Frame,98,1332,41.5086,3.0,475.29,2007,2500.0,4,-0.5000000000000004,3
1457.99,884.7083,5248.764,2624.382,874.794,2624.382,6.123233995736766e-17,3,Road-450,167,1358,-59.4858,6.0,5248.764,2006,2500.0,1,1.0,3
594.83,360.9428,973.3581,324.4527,324.4527,324.4527,-1.0,6,ML Road Frame-W,337,432,-109.4703,3.0,973.3581,2007,0.0,2,1.2246467991473532e-16,10
124.73,55.3801,224.514,224.514,74.838,0.0,-1.8369701987210297e-16,9,HL Headset,397,1844,58.3737,3.0,224.514,2006,5000.0,3,-1.0,10
52.64,23.3722,31.584,31.584,31.584,31.584,1.0,12,HL Touring Seat/Saddle,595,1282,8.2118,1.0,31.584,2007,3900.0,4,-2.4492935982947064e-16,1
49.99,38.4923,28.8404,28.8404,28.8404,28.8404,-0.4999999999999998,4,Long-Sleeve Logo Jersey,8,496,-9.6519,1.0,28.8404,2006,2500.0,2,0.8660254037844387,4
69.99,26.1763,83.988,230.96699999999998,41.994,41.994,6.123233995736766e-17,3,Women's Mountain Shorts,427,1448,31.6354,2.0,83.988,2008,4100.0,1,1.0,3
594.83,360.9428,1622.2635,1622.2635,324.4527,0.0,-0.5000000000000004,8,ML Road Frame-W,275,782,-182.4505,5.0,1622.2635,2006,500.0,3,-0.8660254037844384,6
3578.27,2171.2942,8587.848,8587.848,2146.962,0.0,0.8660254037844384,11,Road-150,90,1182,-97.3288,4.0,8587.848,2005,6700.0,4,-0.5000000000000004,5
8.99,3.3623,26.97,32.364000000000004,5.394,43.152,6.123233995736766e-17,3,Racing Socks,371,1132,10.1585,5.0,26.97,2008,5150.0,1,1.0,6
40.49,17.9776,48.588,109.32300000000001,24.294,72.882,6.123233995736766e-17,3,LL Road Pedal,145,814,12.6328,2.0,48.588,2008,6700.0,1,1.0,5
61.92,27.4925,202.647,202.647,33.7745,0.0,-1.8369701987210297e-16,9,ML Mountain Handlebars,147,828,37.692,6.0,202.647,2006,5150.0,3,-1.0,6
782.99,486.7066,838.9178,838.9178,419.4589,838.9178,-0.8660254037844387,5,Road-650,91,1192,-134.4954,2.0,838.9178,2006,5000.0,2,0.49999999999999994,6
1457.99,884.7083,4373.97,2624.382,874.794,2624.382,1.0,12,Road-450,150,878,-49.5715,5.0,4373.97,2005,4100.0,4,-2.4492935982947064e-16,2
333.42,199.8519,1000.26,1000.26,200.052,0.0,-0.8660254037844388,7,LL Touring Frame,444,770,1.0005,5.0,1000.26,2007,75.0,3,-0.4999999999999997,8
264.05,144.5938,316.86,1584.3,158.43,1584.3,0.8660254037844384,11,LL Mountain Frame,314,1424,27.6724,2.0,316.86,2007,3500.0,4,-0.5000000000000004,1
1214.85,755.1508,2915.64,1822.275,728.91,1457.82,0.8660254037844387,1,Touring-2000,463,1990,-104.9632,4.0,2915.64,2008,2000.0,1,0.49999999999999994,4
59.99,24.7459,382.7362,375.081476,34.7942,0.0,-0.8660254037844388,7,Men's Sports Shorts,13,592,102.8766,11.0,375.081476,2006,5150.0,3,-0.4999999999999997,6
248.385,110.2829,596.124,596.124,149.031,0.0,-1.8369701987210297e-16,9,ML Road Front Wheel,394,1830,154.9924,4.0,596.124,2006,985.0,3,-1.0,7
236.025,104.7951,283.23,283.23,141.615,283.23,0.5000000000000001,10,ML Mountain Rear Wheel,248,1898,73.6398,2.0,283.23,2006,6700.0,4,-0.8660254037844386,5
2384.07,1481.9379,2860.884,2860.884,1430.442,0.0,-0.8660254037844388,7,Touring-1000,454,1146,-102.9918,2.0,2860.884,2007,2000.0,3,-0.4999999999999997,4
59.99,24.7459,179.97,143.976,35.994,143.976,0.8660254037844384,11,Men's Sports Shorts,266,622,56.2405,5.0,179.97,2006,500.0,4,-0.5000000000000004,6
249.79,136.785,599.496,599.496,149.874,0.0,-1.8369701987210297e-16,9,LL Mountain Frame,374,1188,52.356,4.0,599.496,2007,2500.0,3,-1.0,3
3399.99,1912.1544,2039.994,2039.994,2039.994,0.0,-1.8369701987210297e-16,9,Mountain-100,131,668,127.8396,1.0,2039.994,2005,500.0,3,-1.0,6
37.99,15.6709,182.352,182.352,22.794,0.0,-0.5000000000000004,8,Full-Finger Gloves,295,1156,56.9848,8.0,182.352,2006,5150.0,3,-0.8660254037844384,6
1700.99,1082.51,3061.782,3061.782,1020.594,3061.782,0.5000000000000001,10,Road-350-W,25,1050,-185.748,3.0,3061.782,2007,4100.0,4,-0.8660254037844386,3
348.76,185.8193,627.768,627.768,209.256,0.0,-1.8369701987210297e-16,9,ML Mountain Frame,359,928,70.3101,3.0,627.768,2006,5150.0,3,-1.0,6
34.99,13.0863,284.1188,87.47483333333332,20.2942,60.5595,-1.8369701987210297e-16,9,Sport-100,165,1322,95.2282,14.0,278.436424,2007,5150.0,3,-1.0,6
2294.99,1251.9813,5507.976,4130.982,1376.994,4130.982,0.8660254037844384,11,Mountain-200,491,834,500.0508,4.0,5507.976,2007,75.0,4,-0.5000000000000004,8
1079.99,598.4354,3887.964,1295.988,647.994,1295.988,0.8660254037844384,11,Mountain-300,297,1202,297.3516,6.0,3887.964,2006,6700.0,4,-0.5000000000000004,5
742.35,461.4448,1670.2875,1419.744375,334.0575,0.0,-0.8660254037844388,7,Touring-3000,462,1888,-887.4796,5.0,1419.744375,2007,5000.0,3,-0.4999999999999997,1
49.99,38.4923,115.3616,28.8404,28.8404,28.8404,0.5000000000000001,10,Long-Sleeve Logo Jersey,20,904,-38.6076,4.0,115.3616,2005,4100.0,4,-0.8660254037844386,2
63.5,23.749,803.275,763.11125,34.925,0.0,-0.5000000000000004,8,Classic Vest,276,808,216.8843,23.0,763.11125,2007,985.0,3,-0.8660254037844384,7
539.99,343.6496,323.994,323.994,323.994,0.0,-0.5000000000000004,8,Road-750,90,1182,-19.6556,1.0,323.994,2007,6700.0,3,-0.8660254037844384,5
2294.99,1251.9813,4917.8356,1229.4589,1229.4589,1229.4589,-1.0,6,Mountain-200,365,1040,-90.0896,4.0,4917.8356,2007,500.0,2,1.2246467991473532e-16,6
54.99,20.5663,296.946,375.075792,32.994,375.075792,0.8660254037844384,11,Hydration Pack,517,1420,111.8493,9.0,296.946,2007,75.0,4,-0.5000000000000004,8
539.99,343.6496,971.982,2591.952,323.994,2591.952,1.0,12,Road-750,128,642,-58.9668,3.0,971.982,2007,4100.0,4,-2.4492935982947064e-16,4
49.99,38.4923,259.5636,134.58853333333332,28.8404,230.7232,-0.5000000000000004,8,Long-Sleeve Logo Jersey,63,794,-86.8671,9.0,259.5636,2006,500.0,3,-0.8660254037844384,6
49.99,38.4923,86.5212,48.06733333333333,28.8404,57.6808,-0.4999999999999998,4,Long-Sleeve Logo Jersey,24,1046,-28.9557,3.0,86.5212,2007,6700.0,2,0.8660254037844387,5
2384.07,1481.9379,5721.768,12873.978,1430.442,12873.978,0.8660254037844384,11,Touring-1000,517,1420,-205.9836,4.0,5721.768,2007,75.0,4,-0.5000000000000004,8
1120.49,713.0798,1200.525,1200.525,600.2625,0.0,-0.5000000000000004,8,Road-550-W,107,1900,-225.6346,2.0,1200.525,2006,3550.0,3,-0.8660254037844384,3
742.35,461.4448,3563.28,2839.48875,445.41,2839.48875,1.0,12,Touring-3000,558,626,-128.2784,8.0,3563.28,2007,5150.0,4,-2.4492935982947064e-16,6
1349.6,739.041,1472.291,1429.4086,736.1455,1429.4086,1.0,12,HL Mountain Frame,201,1246,-5.791,2.0,1472.291,2006,5000.0,4,-2.4492935982947064e-16,1
594.83,360.9428,324.4527,324.4527,324.4527,0.0,-1.8369701987210297e-16,9,ML Road Frame-W,337,432,-36.4901,1.0,324.4527,2006,5000.0,3,-1.0,10
2294.99,1251.9813,7376.7534,6147.2945,1229.4589,6147.2945,0.8660254037844384,11,Mountain-200,314,1424,-135.1344,6.0,7376.7534,2006,3500.0,4,-0.5000000000000004,1
2443.35,1554.9479,10471.5,3926.8125,1308.9375,1308.9375,-0.8660254037844387,5,Road-250,64,816,-1968.0832,8.0,10471.5,2007,3550.0,2,0.49999999999999994,4
1349.6,739.041,736.1455,1219.7621,736.1455,1472.291,-0.4999999999999998,4,HL Mountain Frame,37,1882,-2.8955,1.0,736.1455,2007,5150.0,2,0.8660254037844387,6
594.83,360.9428,973.3581,973.3581,324.4527,973.3581,0.8660254037844384,11,ML Road Frame-W,264,602,-109.4703,3.0,973.3581,2006,5000.0,4,-0.5000000000000004,10
539.99,343.6496,647.988,3239.94,323.994,3239.94,0.8660254037844387,1,Road-750,251,1976,-39.3112,2.0,647.988,2008,2500.0,1,0.49999999999999994,3
1431.5,868.6342,758.0759,758.0759,758.0759,0.0,0.5000000000000001,10,HL Road Frame,14,662,-110.5583,1.0,758.0759,2005,2500.0,4,-0.8660254037844386,4
4.99,1.8663,8.982,8.982,2.994,0.0,-1.8369701987210297e-16,9,Water Bottle,619,1914,3.3831,3.0,8.982,2007,75.0,3,-1.0,8
337.22,187.1571,183.9382,183.9382,183.9382,0.0,0.8660254037844384,11,LL Road Frame,94,1228,-3.2189,1.0,183.9382,2005,2500.0,4,-0.5000000000000004,3
742.35,461.4448,334.0575,283.948875,334.0575,0.0,-0.5000000000000004,8,Touring-3000,504,1230,-177.4959,1.0,283.948875,2007,3900.0,3,-0.8660254037844384,1
2294.99,1251.9813,4917.8356,1844.1883500000001,1229.4589,1229.4589,0.8660254037844387,1,Mountain-200,221,744,-90.0896,4.0,4917.8356,2007,3500.0,1,0.49999999999999994,1
2294.99,1251.9813,5507.976,2147.4549,1376.994,2753.988,1.0,12,Mountain-200,365,1040,500.0508,4.0,5507.976,2007,500.0,4,-2.4492935982947064e-16,6
120.27,53.3999,72.162,72.162,72.162,0.0,0.8660254037844384,11,HL Road Handlebars,67,846,18.7621,1.0,72.162,2007,2500.0,4,-0.5000000000000004,2
121.46,53.9282,72.876,72.876,72.876,0.0,-1.8369701987210297e-16,9,Rear Derailleur,557,624,18.9478,1.0,72.876,2007,5650.0,3,-1.0,9
742.35,461.4448,2227.05,1174.768875,445.41,1781.64,6.123233995736766e-17,3,Touring-3000,586,1084,-80.174,5.0,2227.05,2008,5000.0,1,1.0,1
1700.99,1082.51,1020.594,1020.594,1020.594,1020.594,0.8660254037844384,11,Road-350-W,272,732,-61.916,1.0,1020.594,2007,5150.0,4,-0.5000000000000004,6
121.46,53.9282,72.876,72.876,72.876,72.876,1.0,12,Rear Derailleur,557,624,18.9478,1.0,72.876,2007,5650.0,4,-2.4492935982947064e-16,9
782.99,486.7066,838.9178,838.9178,419.4589,0.0,1.0,12,Road-650,125,544,-134.4954,2.0,838.9178,2005,4100.0,4,-2.4492935982947064e-16,2
8.99,6.9223,10.373,15.5595,5.1865,20.746,-0.8660254037844387,5,Cycling Cap,64,816,-3.4716,2.0,10.373,2006,3550.0,2,0.49999999999999994,4
8.99,6.9223,41.492,41.492,5.1865,0.0,-0.8660254037844388,7,Cycling Cap,230,954,-13.8864,8.0,41.492,2006,2000.0,3,-0.4999999999999997,3
1120.49,713.0798,672.294,1720.7524999999998,672.294,2016.882,6.123233995736766e-17,3,Road-550-W,166,1356,-40.7858,1.0,672.294,2008,2500.0,1,1.0,2
61.92,27.4925,33.7745,67.549,33.7745,67.549,0.5000000000000001,10,ML Mountain Handlebars,37,1882,6.282,1.0,33.7745,2006,5150.0,4,-0.8660254037844386,6
539.99,343.6496,971.982,323.994,323.994,323.994,1.0,12,Road-750,115,296,-58.9668,3.0,971.982,2007,4100.0,4,-2.4492935982947064e-16,3
337.22,204.6251,367.8764,239.8935333333333,183.9382,183.9382,1.0,12,LL Road Frame,115,296,-41.3738,2.0,367.8764,2006,2500.0,4,-2.4492935982947064e-16,3
63.5,23.749,523.875,228.6,34.925,228.6,1.0,12,Classic Vest,556,618,141.4462,15.0,497.68125,2007,5150.0,4,-2.4492935982947064e-16,6
8.99,6.9223,109.3489,97.24725,4.7543,97.24725,1.0,12,Cycling Cap,362,978,-55.3314,23.0,103.881455,2006,2000.0,4,-2.4492935982947064e-16,4
1700.99,1082.51,4082.376,1020.594,1020.594,1020.594,0.8660254037844384,11,Road-350-W,327,1944,-247.664,4.0,4082.376,2007,2000.0,4,-0.5000000000000004,4
348.76,185.8193,837.024,837.024,209.256,837.024,0.8660254037844384,11,ML Mountain Frame,40,340,93.7468,4.0,837.024,2006,6700.0,4,-0.5000000000000004,5
364.09,199.3757,1310.724,1310.724,218.454,0.0,-0.8660254037844388,7,ML Mountain Frame-W,9,518,114.4698,6.0,1310.724,2007,3500.0,3,-0.4999999999999997,1
742.35,461.4448,890.82,1135.7955,445.41,1135.7955,1.0,12,Touring-3000,568,824,-32.0696,2.0,890.82,2007,3550.0,4,-2.4492935982947064e-16,1
1079.99,598.4354,1295.988,1943.982,647.994,1943.982,0.8660254037844387,1,Mountain-300,177,1948,99.1172,2.0,1295.988,2007,2500.0,1,0.49999999999999994,2
3399.99,1912.1544,10199.97,10199.97,2039.994,0.0,-0.5000000000000004,8,Mountain-100,44,356,639.198,5.0,10199.97,2005,500.0,3,-0.8660254037844384,6
69.99,26.1763,125.982,167.976,41.994,167.976,1.0,12,Women's Mountain Shorts,392,1798,47.4531,3.0,125.982,2007,5150.0,4,-2.4492935982947064e-16,6
